model,bit_width,method,unit,correct_to_wrong,wrong_to_correct,discordant_pairs,minimum_two_sided_exact_p,log2_minimum_exact_p,raw_0_05_attainable,first_bh_cutoff_attainable,observed_exact_p,observed_fdr_p
ViT-B/16,4,ptq,input_embedding,38,56,94,1.0097419586828951e-28,-93,True,True,0.078975548001082,0.5528288360075744
ViT-B/16,4,ptq,transformer_block_1,51,66,117,1.2037062152420224e-35,-116,True,True,0.1953490594045784,0.6837217079160244
ViT-B/16,4,ptq,transformer_block_3,32,29,61,8.673617379884035e-19,-60,True,True,0.7981526273057179,1.0
ViT-B/16,4,ptq,transformer_block_6,32,28,60,1.734723475976807e-18,-59,True,True,0.6988834276200058,1.0
ViT-B/16,4,ptq,transformer_block_9,24,25,49,3.552713678800501e-15,-48,True,True,1.0,1.0
ViT-B/16,4,ptq,transformer_block_11,30,28,58,6.938893903907228e-18,-57,True,True,0.8956832138895906,1.0
ViT-B/16,4,ptq,classifier,15,14,29,3.725290298461914e-09,-28,True,True,1.0,1.0
ViT-B/16,4,codebook,input_embedding,24,42,66,2.710505431213761e-20,-65,True,True,0.0355827244522316,0.1245395355828109
ViT-B/16,4,codebook,transformer_block_1,48,28,76,2.6469779601696886e-23,-75,True,True,0.0286266555087378,0.1245395355828109
ViT-B/16,4,codebook,transformer_block_3,23,28,51,8.881784197001252e-16,-50,True,True,0.5758493477318467,0.8163850159656467
ViT-B/16,4,codebook,transformer_block_6,29,24,53,2.220446049250313e-16,-52,True,True,0.5831321542611763,0.8163850159656467
ViT-B/16,4,codebook,transformer_block_9,24,22,46,2.842170943040401e-14,-45,True,True,0.8829959121223965,1.0
ViT-B/16,4,codebook,transformer_block_11,21,21,42,4.547473508864641e-13,-41,True,True,1.0,1.0
ViT-B/16,4,codebook,classifier,7,14,21,9.5367431640625e-07,-20,True,True,0.1892471313476562,0.4415766398111979
ViT-B/16,8,ptq,input_embedding,0,2,2,0.5,-1,False,False,0.5,0.7777777777777778
ViT-B/16,8,ptq,transformer_block_1,2,3,5,0.0625,-4,False,False,1.0,1.0
ViT-B/16,8,ptq,transformer_block_2,2,6,8,0.0078125,-7,True,False,0.2890625,0.578125
